index,Player,Opp_Team,Opp_Team_W/L %,Opp_Winning_Record,Opp_Playoff_Team,Opp_Team_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
43,Lebron_James,Miami,0.5,Yes,No,41,2,2,76,23,44,3,8,8,14,5,25,14,4,1,6,4,57,0.523,0.375,0.571,0.568,33.7,120,98,24.8,38,28.5,12.5,7,2017
44,Lebron_James,Milwaukee,0.512,Yes,Yes,42,4,4,152,40,77,13,26,16,23,4,35,23,1,1,14,6,109,0.519,0.5,0.696,0.626,30.8,116,111,10.2,38,27.3,8.8,5.8,2017
45,Lebron_James,Minnesota,0.378,No,No,31,2,2,74,21,28,3,5,7,13,1,16,26,2,1,8,4,52,0.75,0.6,0.538,0.771,25.3,140,108,19,37,26,8,13,2017
46,Lebron_James,New Orleans,0.415,No,No,34,2,2,83,20,42,1,8,11,14,4,17,18,4,1,10,3,52,0.476,0.125,0.786,0.54,30,107,105,-8.9,41.3,26,8.5,9,2017
47,Lebron_James,New York,0.378,No,No,31,4,4,142,35,55,5,15,19,27,5,35,46,1,6,19,7,94,0.636,0.333,0.704,0.703,26.9,131,101,27.1,35.4,23.5,8.8,11.5,2017
48,Lebron_James,Oklahoma,0.573,Yes,Yes,47,2,2,78,17,37,1,6,8,13,2,19,15,3,2,5,2,43,0.459,0.167,0.615,0.503,26.8,105,100,3.6,38.9,21.5,9.5,7.5,2017
49,Lebron_James,Orlando,0.354,No,No,29,3,3,114,22,44,4,14,17,27,2,29,32,3,3,12,7,65,0.5,0.286,0.63,0.582,26.9,117,102,13,37.9,21.7,9.7,10.7,2017
50,Lebron_James,Philadelphia,0.341,No,No,28,3,3,107,32,64,5,16,16,22,5,27,33,3,1,12,3,85,0.5,0.313,0.727,0.577,34,117,105,19.7,35.8,28.3,9,11,2017
51,Lebron_James,Phoenix,0.293,No,No,24,2,2,79,19,29,2,6,9,14,3,17,19,2,2,11,5,49,0.655,0.333,0.643,0.697,26,126,113,7.8,39.3,24.5,8.5,9.5,2017
52,Lebron_James,Portland,0.5,Yes,Yes,41,2,2,68,16,33,4,8,15,17,2,21,17,4,1,8,1,51,0.485,0.5,0.882,0.63,30.9,126,111,7.3,34,25.5,10.5,8.5,2017
53,Lebron_James,Sacramento,0.39,No,No,32,2,2,87,14,27,1,7,11,14,4,15,26,3,2,10,5,40,0.519,0.143,0.786,0.603,22.6,121,113,8.8,43.3,20,7.5,13,2017
54,Lebron_James,San Antonio,0.744,Yes,Yes,61,2,2,75,18,33,2,8,8,13,3,14,15,2,0,9,8,46,0.545,0.25,0.615,0.594,28.8,106,112,-19.7,37.4,23,7,7.5,2017
55,Lebron_James,Toronto,0.622,Yes,Yes,51,3,3,119,29,57,6,18,19,26,5,25,29,3,0,11,6,83,0.509,0.333,0.731,0.606,29.4,126,112,4.2,39.6,27.7,8.3,9.7,2017
56,Lebron_James,Utah,0.622,Yes,Yes,51,2,2,75,23,40,5,11,11,17,1,16,11,6,1,10,0,62,0.575,0.455,0.647,0.653,34,115,90,4.1,37.6,31,8,5.5,2017
57,Lebron_James,Washington,0.598,Yes,Yes,49,3,3,121,31,57,9,16,12,20,3,28,30,4,5,15,9,83,0.544,0.563,0.6,0.631,29,120,115,-1.7,40.3,27.7,9.3,10,2017
58,James_Harden,Atlanta,0.293,No,No,24,2,2,61,14,30,7,18,12,15,1,13,26,3,0,4,2,47,0.467,0.389,0.8,0.642,29.4,139,102,25.8,30.5,23.5,6.5,13,2018
59,James_Harden,Boston,0.671,Yes,Yes,55,2,2,77,13,45,8,27,26,28,2,13,20,7,1,12,6,60,0.289,0.296,0.929,0.523,39.4,106,106,12.5,38.4,30,6.5,10,2018
60,James_Harden,Brooklyn,0.341,No,No,28,2,2,70,24,43,12,23,13,14,0,14,13,2,3,6,6,73,0.558,0.522,0.929,0.742,35.9,138,111,10.9,35.1,36.5,7,6.5,2018
61,James_Harden,Charlotte,0.439,No,No,36,2,2,68,16,40,7,20,9,10,0,14,19,2,1,8,7,48,0.4,0.35,0.9,0.541,34.8,109,96,-5.1,34.1,24,7,9.5,2018
62,James_Harden,Cleveland,0.61,Yes,Yes,50,2,2,74,13,37,7,25,18,19,1,17,22,7,1,9,6,51,0.351,0.28,0.947,0.562,31.6,121,98,9.3,36.9,25.5,8.5,11,2018
63,James_Harden,Dallas,0.293,No,No,24,3,3,97,25,54,16,36,15,18,1,14,25,5,2,9,7,81,0.463,0.444,0.833,0.654,34.1,126,99,34.4,32.5,27,4.7,8.3,2018
64,James_Harden,Denver,0.561,Yes,No,46,3,3,96,24,52,12,28,30,36,3,23,27,1,0,17,5,90,0.462,0.429,0.833,0.663,38.4,125,108,31.8,32.1,30,7.7,9,2018
65,James_Harden,Detroit,0.476,No,No,39,1,1,40,4,20,0,8,13,18,0,8,5,2,2,3,2,21,0.2,0,0.722,0.376,32.9,81,87,-10.4,40.4,21,8,5,2018
66,James_Harden,Golden State,0.707,Yes,Yes,58,2,2,71,18,39,9,18,4,6,1,8,19,3,2,9,3,49,0.462,0.5,0.667,0.588,29.5,114,113,-3.4,35.5,24.5,4,9.5,2018
67,James_Harden,Indiana,0.585,Yes,Yes,48,2,2,69,17,43,7,24,14,14,2,13,25,3,0,4,3,55,0.395,0.292,1,0.559,33.5,132,99,35.5,34.4,27.5,6.5,12.5,2018
68,James_Harden,LA Clippers,0.512,Yes,No,42,3,3,109,29,58,11,32,31,34,2,12,22,6,2,15,13,100,0.5,0.344,0.912,0.685,35.4,127,109,3.3,36.3,33.3,4,7.3,2018
69,James_Harden,LA Lakers,0.427,No,No,35,4,4,150,44,84,14,30,46,55,2,13,39,6,4,17,10,148,0.524,0.467,0.836,0.684,35.1,133,110,6.1,37.6,37,3.3,9.8,2018
70,James_Harden,Memphis,0.268,No,No,22,4,4,142,34,84,16,43,25,34,2,18,31,6,1,16,13,109,0.405,0.372,0.735,0.551,36.9,108,102,0.4,35.5,27.3,4.5,7.8,2018
71,James_Harden,Miami,0.537,Yes,Yes,44,2,2,71,23,51,10,25,13,16,0,6,11,5,3,10,4,69,0.451,0.4,0.813,0.594,46.6,109,102,11.2,35.6,34.5,3,5.5,2018
72,James_Harden,Milwaukee,0.537,Yes,Yes,44,2,2,74,16,41,7,20,18,21,0,11,11,4,2,8,6,57,0.39,0.35,0.857,0.567,34.5,109,104,3.9,37,28.5,5.5,5.5,2018
73,James_Harden,Minnesota,0.573,Yes,Yes,47,4,4,133,30,78,12,34,37,38,1,14,41,6,4,11,7,109,0.385,0.353,0.974,0.575,36.6,130,116,8.6,33.2,27.3,3.5,10.3,2018
74,James_Harden,New Orleans,0.585,Yes,Yes,48,4,4,136,35,84,12,43,26,33,4,23,44,11,2,18,9,108,0.417,0.279,0.788,0.548,37.6,112,105,6.4,34,27,5.8,11,2018
75,James_Harden,New York,0.354,No,No,29,2,2,72,21,50,11,30,15,19,1,7,19,3,0,8,6,68,0.42,0.367,0.789,0.583,40.1,117,99,15.4,35.8,34,3.5,9.5,2018
76,James_Harden,Oklahoma City,0.585,Yes,Yes,48,3,3,111,22,47,7,22,27,33,1,17,34,7,3,16,9,78,0.468,0.318,0.818,0.634,31.6,121,112,-0.9,37,26,5.7,11.3,2018
77,James_Harden,Orlando,0.305,No,No,25,1,1,46,19,30,5,14,17,18,2,10,11,4,1,5,2,60,0.633,0.357,0.944,0.791,43.8,154,110,7.9,46.4,60,10,11,2018
78,James_Harden,Philadelphia,0.634,Yes,Yes,52,2,2,80,18,41,5,15,15,17,1,7,20,5,4,15,3,56,0.439,0.333,0.882,0.578,34.8,103,109,-1.8,39.9,28,3.5,10,2018
79,James_Harden,Phoenix,0.256,No,No,21,3,3,111,28,64,10,30,37,47,3,20,25,6,3,15,5,103,0.438,0.333,0.787,0.608,39.3,116,105,12.4,37,34.3,6.7,8.3,2018
80,James_Harden,Portland,0.598,Yes,Yes,49,3,3,104,36,67,12,20,30,39,2,20,17,4,0,14,5,114,0.537,0.6,0.769,0.677,44.3,125,114,5.4,34.8,38,6.7,5.7,2018
81,James_Harden,Sacramento,0.329,No,No,27,2,2,73,15,40,9,29,16,19,2,12,18,4,1,8,3,55,0.375,0.31,0.842,0.569,34.6,114,97,9.8,36.4,27.5,6,9,2018
82,James_Harden,San Antonio,0.573,Yes,Yes,47,4,4,135,30,74,10,40,39,41,3,18,31,3,3,16,11,109,0.405,0.25,0.951,0.592,36.8,118,106,10.8,33.7,27.3,4.5,7.8,2018
83,James_Harden,Toronto,0.72,Yes,Yes,59,2,2,73,23,47,7,19,25,26,1,8,15,0,2,13,6,78,0.489,0.368,0.962,0.667,42.5,122,126,-0.7,36.4,39,4,7.5,2018
84,James_Harden,Utah,0.585,Yes,Yes,48,4,4,143,41,74,16,37,39,43,1,25,27,9,1,21,8,137,0.554,0.432,0.907,0.737,35.7,132,101,22.9,35.8,34.3,6.3,6.8,2018
85,James_Harden,Washington,0.524,Yes,Yes,43,2,2,63,19,32,6,12,14,16,2,11,13,2,2,8,2,58,0.594,0.5,0.875,0.743,33.2,133,118,13.4,31.7,29,5.5,6.5,2018
86,Lebron_James,Atlanta,0.293,No,No,24,4,4,154,37,61,5,15,18,22,5,30,61,5,4,14,13,97,0.607,0.333,0.818,0.686,24.1,141,115,11.7,38.5,24.3,7.5,15.3,2018
87,Lebron_James,Boston,0.671,Yes,Yes,55,3,3,102,29,54,3,12,11,14,1,31,25,2,4,10,5,72,0.537,0.25,0.786,0.598,30.5,116,97,8.2,33.9,24,10.3,8.3,2018
88,Lebron_James,Brooklyn,0.341,No,No,28,4,4,152,50,81,8,17,22,30,8,38,37,4,4,14,7,130,0.617,0.471,0.733,0.69,30.7,135,113,9.9,37.9,32.5,9.5,9.3,2018
89,Lebron_James,Chicago,0.329,No,No,27,4,4,151,49,84,10,23,16,21,2,28,40,9,2,14,6,124,0.583,0.435,0.762,0.665,33.1,129,109,12.3,37.6,31,7,10,2018
90,Lebron_James,Charlotte,0.439,No,No,36,3,3,113,36,70,11,23,16,21,5,32,29,3,4,10,7,99,0.514,0.478,0.762,0.625,34.9,126,104,8.8,37.7,33,10.7,9.7,2018
91,Lebron_James,Dallas,0.293,No,No,24,2,2,80,11,35,3,6,10,12,4,24,16,0,1,8,4,35,0.314,0.5,0.833,0.434,26.3,95,101,7.3,40.2,17.5,12,8,2018
92,Lebron_James,Denver,0.561,Yes,No,46,2,2,82,23,44,6,12,12,19,2,18,25,3,0,6,4,64,0.523,0.5,0.632,0.611,32.6,128,121,1.2,40.8,32,9,12.5,2018
93,Lebron_James,Detroit,0.476,No,No,39,4,4,132,35,66,11,23,14,18,3,23,36,3,2,10,6,95,0.53,0.478,0.778,0.643,28.6,127,106,14.8,32.9,23.8,5.8,9,2018
94,Lebron_James,Golden State,0.707,Yes,Yes,58,2,2,76,19,36,2,9,12,20,3,14,12,3,4,15,5,52,0.528,0.222,0.6,0.58,32.4,97,109,-9.5,38.2,26,7,6,2018
95,Lebron_James,Houston,0.793,Yes,Yes,65,2,2,71,18,34,2,6,6,7,1,13,16,3,2,10,4,44,0.529,0.333,0.857,0.593,30.1,103,117,-8.2,35.7,22,6.5,8,2018
96,Lebron_James,Indiana,0.585,Yes,Yes,48,4,4,157,48,86,4,21,15,19,5,34,41,10,5,27,4,115,0.558,0.19,0.789,0.609,34.6,107,107,-0.9,39.3,28.8,8.5,10.3,2018
97,Lebron_James,LA Clippers,0.512,Yes,No,42,2,2,85,28,46,7,16,1,7,1,24,12,2,3,11,2,64,0.609,0.438,0.143,0.652,31.8,106,107,-8.7,42.5,32,12,6,2018
98,Lebron_James,LA Lakers,0.427,No,No,35,2,2,70,17,38,3,14,12,17,3,22,19,3,3,7,0,49,0.447,0.214,0.706,0.539,32.5,112,111,0.7,35.1,24.5,11,9.5,2018
99,Lebron_James,Memphis,0.268,No,No,22,2,2,76,20,38,0,5,12,12,0,16,23,1,1,8,1,52,0.526,0,1,0.601,31.8,119,105,8.4,37.9,26,8,11.5,2018
100,Lebron_James,Miami,0.537,Yes,Yes,44,3,3,105,25,55,2,13,11,17,5,29,18,6,1,15,3,63,0.455,0.154,0.647,0.504,32.7,92,93,4.6,34.9,21,9.7,6,2018
101,Lebron_James,Milwaukee,0.537,Yes,Yes,44,4,4,148,50,87,13,26,20,25,7,26,34,9,4,19,6,133,0.575,0.5,0.8,0.679,34.9,128,113,5.4,37.1,33.3,6.5,8.5,2018
102,Lebron_James,Minnesota,0.573,Yes,Yes,47,2,2,75,20,30,6,10,1,5,2,18,20,1,3,8,5,47,0.667,0.6,0.2,0.73,25,132,128,-26.9,37.5,23.5,9,10,2018
103,Lebron_James,New Orleans,0.585,Yes,Yes,48,2,2,73,18,35,1,7,8,9,1,12,19,1,0,5,3,45,0.514,0.143,0.889,0.578,27.3,121,117,4.1,36.3,22.5,6,9.5,2018
104,Lebron_James,New York,0.354,No,No,29,4,4,125,25,54,6,16,19,24,5,30,32,4,3,16,5,75,0.463,0.375,0.792,0.581,27.6,112,108,1.5,31.2,18.8,7.5,8,2018
105,Lebron_James,Oklahoma City,0.585,Yes,Yes,48,2,2,78,22,40,3,11,8,14,0,11,15,0,2,7,3,55,0.55,0.273,0.571,0.596,30,112,131,-20.4,39.1,27.5,5.5,7.5,2018
